Iteration number	SNR plasmon
1.0	0.453315127151
2.0	0.702932112778
3.0	0.943627558
4.0	1.16910740119
5.0	1.3789417262
6.0	1.57506417813
7.0	1.76112743353
8.0	1.94045187702
9.0	2.11592137005
10.0	2.28984711673
11.0	2.46383867711
12.0	2.63912130382
13.0	2.81648721125
14.0	2.99663185492
15.0	3.17994158479
16.0	3.36675624265
17.0	3.55729232669
18.0	3.74963885525
19.0	3.92767827306
20.0	4.09003233055
21.0	4.25311289227
22.0	4.40858392561
23.0	4.56243730683
24.0	4.71112948933
25.0	4.84950525293
26.0	4.98762356766
27.0	5.1225007126
28.0	5.25648827836
29.0	5.38637910315
30.0	5.51484271634
31.0	5.64197214452
32.0	5.76639205547
33.0	5.89056401976
34.0	6.01432749539
35.0	6.13706014526
36.0	6.25701733837
37.0	6.3766949526
38.0	6.49559029465
39.0	6.61455863438
40.0	6.73370561908
41.0	6.84902767356
42.0	6.95930209307
43.0	7.06933743891
44.0	7.17914818262
45.0	7.28894684817
46.0	7.39678515319
47.0	7.5043530727
48.0	7.61162481312
49.0	7.7186562925
50.0	7.82421321156
51.0	7.9294184826
52.0	8.03194139751
53.0	8.13378087189
54.0	8.23281659633
55.0	8.33091184517
56.0	8.42890721603
57.0	8.52647569895
58.0	8.62369419234
59.0	8.71997165179
60.0	8.81599098276
61.0	8.91139389095
62.0	9.00574379421
63.0	9.09899619992
64.0	9.1918415126
65.0	9.28246562854
66.0	9.3716409837
67.0	9.45982354258
68.0	9.54747720172
69.0	9.63444232437
70.0	9.71850423642
71.0	9.80114838242
72.0	9.88295255819
73.0	9.96214984365
74.0	10.0408747744
75.0	10.1187984531
76.0	10.1958169368
77.0	10.2723857461
78.0	10.3485500521
79.0	10.4243041079
80.0	10.4780645247
81.0	10.5255187281
82.0	10.5724997102
83.0	10.6190601694
84.0	10.6652451564
85.0	10.7109406609
86.0	10.7557085177
87.0	10.7997083444
88.0	10.8433115544
89.0	10.8670685766
90.0	10.8832500973
91.0	10.8907194308
92.0	10.8926316577
93.0	10.8948029289
94.0	10.8971635359
95.0	10.8994662606
96.0	10.9019961943
97.0	10.9045171824
98.0	10.9072935084
99.0	10.9103292795
100.0	10.9136225881
101.0	10.9165062875
102.0	10.918824745
103.0	10.9213737863
104.0	10.9241635529
105.0	10.9268511635
106.0	10.9295358621
107.0	10.9325000641
108.0	10.9357401828
109.0	10.9390653271
110.0	10.9423840695
111.0	10.9458827479
112.0	10.9492916633
113.0	10.9529200618
114.0	10.9568156795
115.0	10.960974706
116.0	10.9653933702
117.0	10.9700679409
118.0	10.9749947279
119.0	10.9797351818
120.0	10.9845471184
121.0	10.9888447168
122.0	10.9914185916
123.0	10.991310308
124.0	10.9792776268
125.0	10.9676369653
126.0	10.9564109069
127.0	10.9455916324
128.0	10.9351714945
129.0	10.9250699071
130.0	10.9150682467
131.0	10.9054494178
132.0	10.8962062312
133.0	10.8873316557
134.0	10.878790557
135.0	10.8705358155
136.0	10.8626307799
137.0	10.854416876
138.0	10.8462167384
139.0	10.8383451261
140.0	10.8307956143
141.0	10.8235619295
142.0	10.8166379457
143.0	10.8100176795
144.0	10.8034351388
145.0	10.7963018513
146.0	10.7891893342
147.0	10.7823780363
148.0	10.77578599
149.0	10.7693768
150.0	10.7632539276
151.0	10.7574069285
152.0	10.7517924661
153.0	10.7464482739
154.0	10.7413691105
155.0	10.7362556624
156.0	10.731144527
157.0	10.726288038
158.0	10.7216812765
159.0	10.7171032452
160.0	10.7127534729
161.0	10.7084392946
162.0	10.7043464367
163.0	10.7004811098
164.0	10.6968390039
165.0	10.6934156213
166.0	10.6901579845
167.0	10.6870842438
168.0	10.6841745401
169.0	10.6814347809
170.0	10.6788946774
171.0	10.6765504931
172.0	10.674398568
173.0	10.6722853562
174.0	10.6701323628
175.0	10.6681469625
176.0	10.6663418755
177.0	10.6647150214
178.0	10.6632241066
179.0	10.6618848573
180.0	10.6607142846
181.0	10.6597090116
182.0	10.6588350697
183.0	10.6581209091
184.0	10.657563559
185.0	10.6571601062
186.0	10.6569076929
187.0	10.656803516
188.0	10.6568448251
189.0	10.6570289216
190.0	10.6573320592
191.0	10.6574050393
192.0	10.6576096549
193.0	10.6579138746
194.0	10.6583274808
195.0	10.6588492846
196.0	10.6594980595
197.0	10.6602714234
198.0	10.6611670378
199.0	10.662182606
200.0	10.6633158727
201.0	10.6645646227
202.0	10.6659266802
203.0	10.6672480925
204.0	10.6686771384
205.0	10.6702142232
206.0	10.6718573073
207.0	10.673602427
208.0	10.675425437
209.0	10.6773484926
210.0	10.6793696894
211.0	10.6814871556
212.0	10.6836990512
213.0	10.6860035677
214.0	10.6883989269
215.0	10.6908833806
216.0	10.6934091903
217.0	10.6941152091
218.0	10.6941902204
219.0	10.6943545294
220.0	10.6946259809
221.0	10.6950027138
222.0	10.6954828977
223.0	10.6960647324
224.0	10.6967464469
225.0	10.6975262992
226.0	10.6983567478
227.0	10.6992618042
228.0	10.70026003
229.0	10.7013497922
230.0	10.7025294841
231.0	10.7036379147
232.0	10.7048178901
233.0	10.7060836277
234.0	10.7074336127
235.0	10.7088257914
236.0	10.7102934761
237.0	10.7118410438
238.0	10.7134670693
239.0	10.7151701494
240.0	10.7169489027
241.0	10.7188019692
242.0	10.7207280095
243.0	10.722725705
244.0	10.7247937574
245.0	10.7269308878
246.0	10.729135837
247.0	10.7314073649
248.0	10.73374425
249.0	10.7361452894
250.0	10.7386092982
251.0	10.7411351091
252.0	10.7437215726
253.0	10.7463675562
254.0	10.7490719442
255.0	10.7518336376
256.0	10.7546515535
257.0	10.7574377284
258.0	10.7602626851
259.0	10.7631411043
260.0	10.7660045805
261.0	10.7687204128
262.0	10.7714873556
263.0	10.774304411
264.0	10.7771705958
265.0	10.7800820244
266.0	10.7830372833
267.0	10.7860387859
268.0	10.7890412096
269.0	10.7899517293
270.0	10.7909176612
271.0	10.791938139
272.0	10.7930123076
273.0	10.7941347101
274.0	10.7953009159
275.0	10.7965184821
276.0	10.7977435042
277.0	10.799003672
278.0	10.800254883
279.0	10.8015538043
280.0	10.8029001155
281.0	10.8042930544
282.0	10.8055432635
283.0	10.8068216893
284.0	10.8081246993
285.0	10.8094717861
286.0	10.8108622257
287.0	10.8122953032
288.0	10.8137703129
289.0	10.815286558
290.0	10.8168433507
291.0	10.8184400116
292.0	10.8200758702
293.0	10.8197764895
294.0	10.8184250918
295.0	10.81708308
296.0	10.8157501114
297.0	10.8144776562
298.0	10.8132461277
299.0	10.8117600751
300.0	10.8102365253
301.0	10.8087389868
302.0	10.8072983559
303.0	10.8059138384
304.0	10.8045846503
305.0	10.8033100178
306.0	10.8020891771
307.0	10.800921374
308.0	10.7998058645
309.0	10.7987419136
310.0	10.7977287961
311.0	10.796765796
312.0	10.7958522064
313.0	10.7949873294
314.0	10.7941704762
315.0	10.7933481094
316.0	10.792571344
317.0	10.7918406833
318.0	10.791155471
319.0	10.7905150593
320.0	10.7899010295
321.0	10.7893132332
322.0	10.7884597665
323.0	10.7876185873
324.0	10.786820236
325.0	10.7860640948
326.0	10.7853495534
327.0	10.7846307204
328.0	10.7839269515
329.0	10.7832628784
330.0	10.7826379206
331.0	10.782051505
332.0	10.7815030657
333.0	10.780546959
334.0	10.7794608488
335.0	10.77841431
336.0	10.7774067629
337.0	10.7764376354
338.0	10.7755063627
339.0	10.774609121
340.0	10.7737472446
341.0	10.7729216195
342.0	10.7721317091
343.0	10.7713769837
344.0	10.7706569203
345.0	10.769971003
346.0	10.769318722
347.0	10.7686995745
348.0	10.768113064
349.0	10.7675587001
350.0	10.7670359992
351.0	10.7664933209
352.0	10.7659525307
353.0	10.7654419922
354.0	10.7649612456
355.0	10.7645098366
356.0	10.7640873168
357.0	10.7636932437
358.0	10.7633271802
359.0	10.7629836944
360.0	10.7626361477
361.0	10.7623092253
362.0	10.7620086241
363.0	10.7617339337
364.0	10.7614847488
365.0	10.7612606694
366.0	10.7610613005
367.0	10.7608862521
368.0	10.7607351392
369.0	10.7606075814
370.0	10.7604947711
371.0	10.7604027202
372.0	10.7603331396
373.0	10.7602856672
374.0	10.7602599458
375.0	10.7602556226
376.0	10.7602629112
377.0	10.7602769123
378.0	10.7602813053
379.0	10.7601431821
380.0	10.7600251731
381.0	10.7599269474
382.0	10.7598481786
383.0	10.7597885443
384.0	10.7597477261
385.0	10.7597254097
386.0	10.7597124987
387.0	10.7596773164
388.0	10.7596597629
389.0	10.7596595393
390.0	10.7596763499
391.0	10.7597099032
392.0	10.7597599111
393.0	10.7598260893
394.0	10.7599081569
395.0	10.7600058368
396.0	10.7601188551
397.0	10.7602469416
398.0	10.7603898292
399.0	10.7605472546
400.0	10.7607189574
401.0	10.7609046807
402.0	10.7611041708
403.0	10.7613113332
404.0	10.7615288487
405.0	10.7617594263
406.0	10.7620028249
407.0	10.7622588063
408.0	10.7625271354
409.0	10.7628075802
410.0	10.7630999113
411.0	10.7634039026
412.0	10.7637193305
413.0	10.7640459744
414.0	10.7643836165
415.0	10.7647320416
416.0	10.7650910375
417.0	10.7654603944
418.0	10.7658399053
419.0	10.7662293659
420.0	10.7666285742
421.0	10.767037331
422.0	10.7674554396
423.0	10.7678827058
424.0	10.7682863234
425.0	10.7686910991
426.0	10.7691037182
427.0	10.7695100915
428.0	10.7699246831
429.0	10.7703473135
430.0	10.7707778052
431.0	10.7712159832
432.0	10.7716616746
433.0	10.7721147087
434.0	10.7725749172
435.0	10.7730421338
436.0	10.7735161942
437.0	10.7739969365
438.0	10.7744842007
439.0	10.7749778289
440.0	10.7754776653
441.0	10.775983556
442.0	10.7764953492
443.0	10.777012895
444.0	10.7775036692
445.0	10.7779893107
446.0	10.778459935
447.0	10.7789259264
448.0	10.7793970191
449.0	10.7798495746
450.0	10.7802895896
451.0	10.7807175835
452.0	10.7811501387
453.0	10.7815871238
454.0	10.7820284093
455.0	10.7824738675
456.0	10.7829233721
457.0	10.7833767987
458.0	10.7838340244
459.0	10.7842949281
460.0	10.7847593903
461.0	10.7852272928
462.0	10.7856985194
463.0	10.7861729551
464.0	10.7866504866
465.0	10.7871310021
466.0	10.7876143914
467.0	10.7881005455
468.0	10.7885893572
469.0	10.7890807206
470.0	10.7895745311
471.0	10.7900706856
472.0	10.7905619665
473.0	10.791037573
474.0	10.791506911
475.0	10.7919680164
476.0	10.7924309407
477.0	10.7928696191
478.0	10.7932418879
479.0	10.79359166
480.0	10.7939429896
481.0	10.7942957876
482.0	10.7946499657
483.0	10.7950054372
484.0	10.7953621164
485.0	10.7957199188
486.0	10.7960787613
487.0	10.7964385618
488.0	10.7967992393
489.0	10.7971607141
490.0	10.7975229076
491.0	10.7978857423
492.0	10.7982491419
493.0	10.7986130309
494.0	10.7989773351
495.0	10.7993419816
496.0	10.7997068981
497.0	10.8000720136
498.0	10.8004372581
499.0	10.8008025626
500.0	10.8011678591
501.0	10.8015016095
502.0	10.8018346208
503.0	10.8021675497
504.0	10.8025001858
505.0	10.80282432
506.0	10.8031394441
507.0	10.803438457
508.0	10.8037370037
509.0	10.8040350248
510.0	10.8043324616
511.0	10.8046292565
512.0	10.8049253525
513.0	10.8052206937
514.0	10.8055152249
515.0	10.805808892
516.0	10.8061016414
517.0	10.8063934205
518.0	10.8062640942
519.0	10.8058953725
520.0	10.8055246811
521.0	10.8051003365
522.0	10.8046774668
523.0	10.8042430372
524.0	10.8037842783
525.0	10.8033268171
526.0	10.8027898616
527.0	10.8022483702
528.0	10.801708197
529.0	10.8011692899
530.0	10.8006315971
531.0	10.8000789993
532.0	10.799344876
533.0	10.7986119096
534.0	10.7978800512
535.0	10.7971492527
536.0	10.7964194666
537.0	10.7956816698
538.0	10.7949329467
539.0	10.7941851482
540.0	10.7934382295
541.0	10.7926921463
542.0	10.7919468548
543.0	10.791202312
544.0	10.7904584756
545.0	10.7897153037
546.0	10.7889727552
547.0	10.7882307895
548.0	10.7874893665
549.0	10.7867313838
550.0	10.7859342206
551.0	10.7851375034
552.0	10.7843411947
553.0	10.7835452576
554.0	10.7827496558
555.0	10.7819543534
556.0	10.7811593152
557.0	10.7803645065
558.0	10.779569893
559.0	10.778775441
560.0	10.7779811174
561.0	10.7771868895
562.0	10.7763927251
563.0	10.7755985926
564.0	10.7748044608
565.0	10.7740102989
566.0	10.7732160769
567.0	10.7724217649
568.0	10.7714891915
569.0	10.770552307
570.0	10.7696156696
571.0	10.7686792507
572.0	10.767743022
573.0	10.7668069559
574.0	10.765871025
575.0	10.7649352025
576.0	10.763999462
577.0	10.7630637773
578.0	10.762128123
579.0	10.7611924739
580.0	10.7602568052
581.0	10.7593210924
582.0	10.7583853117
583.0	10.7574494394
584.0	10.7565134524
585.0	10.7555773278
586.0	10.7546410432
587.0	10.7537045766
588.0	10.7527679061
589.0	10.7518310107
590.0	10.7508938691
591.0	10.749956461
592.0	10.7490168797
593.0	10.7480628485
594.0	10.7471085187
595.0	10.7461538711
596.0	10.7451988869
597.0	10.7442435474
598.0	10.7432836724
599.0	10.7422911236
600.0	10.7412981782
601.0	10.740304819
602.0	10.7393110292
603.0	10.7383167924
604.0	10.7373220924
605.0	10.7363269133
606.0	10.7353312395
607.0	10.7343350557
608.0	10.733338347
609.0	10.7323410985
610.0	10.7313432959
611.0	10.7303193746
612.0	10.7292850542
613.0	10.7282501328
614.0	10.7272145975
615.0	10.7261784351
616.0	10.725141633
617.0	10.7241041788
618.0	10.7230660603
619.0	10.7220272654
620.0	10.7209763129
621.0	10.7199215376
622.0	10.7188660911
623.0	10.7178099624
624.0	10.7167531409
625.0	10.715695616
626.0	10.7146373775
627.0	10.7135784153
628.0	10.7125187197
629.0	10.7114582811
630.0	10.71039709
631.0	10.7093351373
632.0	10.7082724141
633.0	10.7072089116
634.0	10.7061446213
635.0	10.7050795348
636.0	10.7040136441
637.0	10.7029469412
638.0	10.7018794184
639.0	10.700811068
640.0	10.6997418829
641.0	10.6986599881
642.0	10.6974755175
643.0	10.6962902764
644.0	10.6951042593
645.0	10.693917461
646.0	10.6927298762
647.0	10.6915414999
648.0	10.6903523273
649.0	10.6891623538
650.0	10.6879715746
651.0	10.6867799856
652.0	10.6855875825
653.0	10.6843943611
654.0	10.6832003176
655.0	10.6820054482
656.0	10.6808097492
657.0	10.6795975022
658.0	10.6783771414
659.0	10.6771559908
660.0	10.6759340471
661.0	10.6747113073
662.0	10.6734877685
663.0	10.6722634276
664.0	10.6710382822
665.0	10.6698123295
666.0	10.6685855672
667.0	10.6673579929
668.0	10.6661296043
669.0	10.6649003995
670.0	10.6636703764
671.0	10.6624395332
672.0	10.6612078681
673.0	10.6599753795
674.0	10.658742066
675.0	10.657507926
676.0	10.6562729583
677.0	10.6550371617
678.0	10.6538005351
679.0	10.6525630776
680.0	10.6513247882
681.0	10.6500856662
682.0	10.6488457108
683.0	10.6476049216
684.0	10.646363298
685.0	10.6451208397
686.0	10.6438775462
687.0	10.6426334175
688.0	10.6413884534
689.0	10.6401426538
690.0	10.6388960189
691.0	10.6376485487
692.0	10.6364002436
693.0	10.6351511037
694.0	10.6339011296
695.0	10.6326503216
696.0	10.6313986804
697.0	10.6301462066
698.0	10.6288929008
699.0	10.6275986819
700.0	10.6262895062
701.0	10.6249795486
702.0	10.62366881
703.0	10.6223572917
704.0	10.6210023633
705.0	10.6191566228
706.0	10.6173105136
707.0	10.6154640389
708.0	10.6136172018
709.0	10.6117700054
710.0	10.6099224529
711.0	10.6080745475
712.0	10.6062262925
713.0	10.6043776913
714.0	10.602528747
715.0	10.6006794631
716.0	10.598829843
717.0	10.5969798901
718.0	10.5951248734
719.0	10.5932669008
720.0	10.5914085949
721.0	10.5895499595
722.0	10.5876909981
723.0	10.5858317146
724.0	10.5839721125
725.0	10.5821121958
726.0	10.5802519681
727.0	10.5783914334
728.0	10.5765305953
729.0	10.5746694579
730.0	10.572808025
731.0	10.5709463004
732.0	10.5690842882
733.0	10.5672219922
734.0	10.5653594165
735.0	10.563496565
736.0	10.5616334417
737.0	10.5597700507
738.0	10.557906396
739.0	10.5560424817
740.0	10.5541783118
741.0	10.5523138905
742.0	10.5504492219
743.0	10.54858431
744.0	10.5467138805
745.0	10.5448342049
746.0	10.5429543292
747.0	10.5410742574
748.0	10.5391939937
749.0	10.5373135422
750.0	10.5354329071
751.0	10.5335520927
752.0	10.5316711029
753.0	10.5297899422
754.0	10.5279086146
755.0	10.5260271244
756.0	10.5241454758
757.0	10.522263673
758.0	10.5203817203
759.0	10.5184996219
760.0	10.5166173821
761.0	10.5147350052
762.0	10.5128524954
763.0	10.510969857
764.0	10.5090870943
765.0	10.5072042116
766.0	10.5053212132
767.0	10.5034381034
768.0	10.5015548864
769.0	10.4996715667
770.0	10.4977881485
771.0	10.4959046361
772.0	10.4940210339
773.0	10.4921373462
774.0	10.4902535773
775.0	10.4883697316
776.0	10.4864858133
777.0	10.4846018269
778.0	10.4827177766
779.0	10.4808336668
780.0	10.4789495019
781.0	10.4770652861
782.0	10.4751810238
783.0	10.4732967194
784.0	10.4714123771
785.0	10.4695280014
786.0	10.4676435965
787.0	10.4657591668
788.0	10.4638747166
789.0	10.4619902503
790.0	10.4601057722
791.0	10.4582212866
792.0	10.4563367978
793.0	10.4544523101
794.0	10.452567828
795.0	10.4506833556
796.0	10.4487988973
797.0	10.4469144575
798.0	10.4450300404
799.0	10.4431456502
800.0	10.4412612914
801.0	10.4393769682
802.0	10.4374926848
803.0	10.4356084457
804.0	10.4337242549
805.0	10.4318401169
806.0	10.4299560358
807.0	10.428072016
808.0	10.4261880616
809.0	10.424304177
810.0	10.4224198544
811.0	10.4205240096
812.0	10.4186282589
813.0	10.4167326066
814.0	10.4148370569
815.0	10.412941614
816.0	10.4110462822
817.0	10.4091510657
818.0	10.4072559687
819.0	10.4053609953
820.0	10.4034661498
821.0	10.4015714364
822.0	10.3996768592
823.0	10.3977824225
824.0	10.3958881302
825.0	10.3939939867
826.0	10.392099996
827.0	10.3902061623
828.0	10.3883124896
829.0	10.3864189821
830.0	10.3845256439
831.0	10.3826324791
832.0	10.3807394917
833.0	10.3788466859
834.0	10.3769540656
835.0	10.3750616349
836.0	10.3731693979
837.0	10.3712730256
838.0	10.3693741456
839.0	10.3674754746
840.0	10.3655770166
841.0	10.3636787756
842.0	10.3617807556
843.0	10.3598829606
844.0	10.3579791453
845.0	10.3560565884
846.0	10.3541212898
847.0	10.3521842961
848.0	10.3502475801
849.0	10.3483111458
850.0	10.3463749972
851.0	10.3444391383
852.0	10.342503573
853.0	10.3405683053
854.0	10.3386333392
855.0	10.3366986785
856.0	10.3347643272
857.0	10.3328302891
858.0	10.3308965682
859.0	10.3289631684
860.0	10.3270300934
861.0	10.3250973471
862.0	10.3231649334
863.0	10.3212328561
864.0	10.3193011189
865.0	10.3173697258
866.0	10.3154386803
867.0	10.3135079864
868.0	10.3115776477
869.0	10.309647668
870.0	10.307718051
871.0	10.3057888004
872.0	10.3038546662
873.0	10.301884735
874.0	10.2999152098
875.0	10.2979460944
876.0	10.2959773925
877.0	10.2940091078
878.0	10.2920412442
879.0	10.2900738052
880.0	10.2881067947
881.0	10.2861402163
882.0	10.2841740736
883.0	10.2822083703
884.0	10.2802431101
885.0	10.2782782965
886.0	10.2763139332
887.0	10.2743500237
888.0	10.2723865717
889.0	10.2704235806
890.0	10.2684550914
891.0	10.26648036
892.0	10.2645061141
893.0	10.2625323572
894.0	10.2605590927
895.0	10.2585863242
896.0	10.256614055
897.0	10.2546422886
898.0	10.2526710285
899.0	10.2507002779
900.0	10.2487300404
901.0	10.2467603192
902.0	10.2447911178
903.0	10.2428224394
904.0	10.2408542874
905.0	10.2388866651
906.0	10.2369195758
907.0	10.2349530227
908.0	10.2329870092
909.0	10.2310215383
910.0	10.2290566135
911.0	10.2270922378
912.0	10.2251284146
913.0	10.2231651468
914.0	10.2212024378
915.0	10.2192355753
916.0	10.2172679516
917.0	10.2153008849
918.0	10.2133343783
919.0	10.2113684349
920.0	10.2094030578
921.0	10.2074382503
922.0	10.2054740153
923.0	10.2035103558
924.0	10.2015472751
925.0	10.199584776
926.0	10.1976228617
927.0	10.1956559461
928.0	10.1936820391
929.0	10.191708771
930.0	10.1897361444
931.0	10.1877641623
932.0	10.1856903969
933.0	10.1835813279
934.0	10.181473218
935.0	10.1793660689
936.0	10.1772598824
937.0	10.1751546602
938.0	10.173050404
939.0	10.1709471157
940.0	10.1688447969
941.0	10.1667434494
942.0	10.1646430748
943.0	10.1625436749
944.0	10.1604452512
945.0	10.1583478055
946.0	10.1562513394
947.0	10.1541558545
948.0	10.1520613525
949.0	10.1499678349
950.0	10.1478753034
951.0	10.1457563379
952.0	10.143624407
953.0	10.1414258698
954.0	10.139068009
955.0	10.1367116284
956.0	10.1343567284
957.0	10.1320033096
958.0	10.1296513725
959.0	10.1272955422
960.0	10.1249289602
961.0	10.1225638719
962.0	10.1202002778
963.0	10.1178381785
964.0	10.1154332012
965.0	10.1129307065
966.0	10.1104299344
967.0	10.107930885
968.0	10.1054335583
969.0	10.1029379546
970.0	10.1004440739
971.0	10.0979519163
972.0	10.0954614818
973.0	10.0929727706
974.0	10.0904857826
975.0	10.088000518
976.0	10.0852524069
977.0	10.0820517592
978.0	10.0788533262
979.0	10.075657109
980.0	10.0724631084
981.0	10.0692713254
982.0	10.066081761
983.0	10.0628944159
984.0	10.0597092911
985.0	10.0565263873
986.0	10.0533457055
987.0	10.0501672463
988.0	10.0469910106
989.0	10.043816999
990.0	10.0406452123
991.0	10.0374756513
992.0	10.0343083164
993.0	10.0311432085
994.0	10.0279803281
995.0	10.0248196759
996.0	10.0216612524
997.0	10.0185050582
998.0	10.0153510938
999.0	10.0121993598
1000.0	10.0090498566
1001.0	10.0059025847
1002.0	10.0027575446
1003.0	9.99961473672
1004.0	9.99646242176
1005.0	9.99331127024
1006.0	9.99016237631
1007.0	9.9870157403
1008.0	9.9838713625
1009.0	9.9807292432
1010.0	9.97758938264
1011.0	9.97445178107
1012.0	9.97131643871
1013.0	9.96818335575
1014.0	9.96505253238
1015.0	9.96192396874
1016.0	9.958797665
1017.0	9.95567362126
1018.0	9.95255183763
1019.0	9.94943231419
1020.0	9.94631505102
1021.0	9.94320004816
1022.0	9.94008730564
1023.0	9.93697682347
1024.0	9.93386860165
